scale,n_rows,complexity,avg_median_ms,growth_rate_ms_per_1k,r2
S,4843,simple,14.0,0.0716,0.9945
M,227832,simple,27.826,0.0716,0.9945
L,450943,simple,41.575,0.0716,0.9945
XL,897547,simple,77.722,0.0716,0.9945
S,4843,rollup,11.389,0.0527,0.9986
M,227832,rollup,24.882,0.0527,0.9986
L,450943,rollup,35.402,0.0527,0.9986
XL,897547,rollup,58.923,0.0527,0.9986
S,4843,pivot,8.72,0.1301,0.9967
M,227832,pivot,34.157,0.1301,0.9967
L,450943,pivot,60.587,0.1301,0.9967
XL,897547,pivot,124.312,0.1301,0.9967
